DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION,HOUR
231307184,2023-03-03,2023-03-03,100,Newton,THEFT OF IDENTITY,22.0,F,B,Unknown,Invest Cont,2700 S  GRAND                        AV,1
221321139,2022-11-18,2022-11-18,1030,Newton,INTIMATE PARTNER - SIMPLE ASSAULT,41.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,600 E  43RD                         PL,10
220124178,2022-11-09,2022-11-09,1300,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26.0,M,B,OTHER CUTTING INSTRUMENT,Invest Cont,700 S  MAIN                         ST,13
221116610,2022-11-22,2022-11-14,2200,Northeast,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),70.0,M,F,Unknown,Invest Cont,1900    KEMPER                       ST,22
221114466,2022-09-29,2022-09-28,2330,Northeast,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),49.0,F,H,Unknown,Invest Cont,1400    LOGAN                        ST,23
221414026,2022-07-19,2022-07-09,2130,Pacific,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",49.0,M,B,Unknown,Invest Cont,7100    RAMSGATE                     AV,21
220714341,2022-09-21,2022-09-21,1248,Wilshire,BURGLARY,35.0,F,H,Unknown,Adult Arrest,2400 S  CLOVERDALE                   AV,12
230407024,2023-04-01,2023-03-30,2105,Hollenbeck,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),37.0,F,W,Unknown,Invest Cont,3700    HELLMAN                      AV,21
220618077,2022-10-23,2022-10-22,1845,Hollywood,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),27.0,M,H,Unknown,Invest Cont,5500 W  SUNSET                       BL,18
230605682,2023-02-07,2023-02-05,2300,Hollywood,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),37.0,F,B,Unknown,Invest Cont,PADRE,23
222013768,2022-08-14,2022-08-14,840,Olympic,VIOLATION OF RESTRAINING ORDER,44.0,M,H,Unknown,Adult Other,6TH                          ST,8
231607864,2023-05-02,2023-05-01,1800,Foothill,BURGLARY,52.0,M,H,Unknown,Invest Cont,7600    FOOTHILL                     BL,18
221822825,2022-12-28,2022-12-28,1040,Southeast,ROBBERY,66.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1300 E  107TH                        ST,10
230807840,2023-03-31,2023-03-31,1615,West LA,CRIMINAL THREATS - NO WEAPON DISPLAYED,48.0,M,O,VERBAL THREAT,Invest Cont,1500    BROCKTON                     AV,16
220713552,2022-08-31,2022-08-30,501,Wilshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",29.0,F,O,Unknown,Invest Cont,600 S  BURNSIDE                     AV,5
231507236,2023-03-19,2023-03-19,220,N Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",28.0,F,H,SHOTGUN,Adult Arrest,11900    HART                         ST,2
221012493,2022-08-05,2022-06-20,100,West Valley,THEFT PLAIN - PETTY ($950 & UNDER),53.0,M,O,Unknown,Invest Cont,7400    WHITE OAK                    AV,1
231806742,2023-02-06,2023-02-02,830,Southeast,THEFT OF IDENTITY,32.0,M,H,Unknown,Invest Cont,9000 S  MAIN                         ST,8
230706018,2023-02-14,2023-02-09,1208,Wilshire,THEFT OF IDENTITY,40.0,F,B,Unknown,Invest Cont,5000 W  PICO                         BL,12
221513177,2022-08-07,2022-08-01,700,N Hollywood,THEFT OF IDENTITY,41.0,M,W,Unknown,Invest Cont,11100    LANDALE                      ST,7
230706970,2023-03-10,2023-03-10,1835,Wilshire,BATTERY - SIMPLE ASSAULT,56.0,M,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,100 S  LA BREA                      AV,18
220910476,2022-06-18,2022-06-16,2100,Van Nuys,THEFT OF IDENTITY,77.0,F,W,Unknown,Invest Cont,13400    VENTURA                      BL,21
230407638,2023-04-23,2023-04-23,900,Hollenbeck,ROBBERY,63.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,3200    CASTALIA                     AV,9
221614872,2022-12-05,2022-12-04,2215,Foothill,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",21.0,M,H,UNKNOWN FIREARM,Adult Arrest,OSBORNE                      ST,22
221417981,2022-10-22,2022-10-21,2330,Pacific,BURGLARY FROM VEHICLE,31.0,M,H,Unknown,Invest Cont,400 S  MAIN                         ST,23
222113946,2022-09-05,2022-09-03,800,Topanga,BURGLARY,68.0,F,O,Unknown,Invest Cont,22500    DOLOROSA                     ST,8
230707396,2023-03-20,2023-03-20,900,Wilshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",62.0,F,B,Unknown,Invest Cont,1100 S  SPAULDING                    AV,9
231500616,2023-03-12,2023-03-12,1715,N Hollywood,ATTEMPTED ROBBERY,71.0,M,H,KNIFE WITH BLADE 6INCHES OR LESS,Adult Arrest,6400    TUJUNGA                      AV,17
231308012,2023-03-19,2023-03-19,400,Newton,BURGLARY FROM VEHICLE,29.0,M,H,Unknown,Invest Cont,57TH                         ST,4
231412370,2023-06-13,2023-05-23,1200,Pacific,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",25.0,F,W,Unknown,Invest Cont,1000    ELKGROVE                     AV,12
230104288,2023-01-03,2022-12-30,1800,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",25.0,M,C,Unknown,Invest Cont,600 N  HILL                         ST,18
220617339,2022-09-28,2022-09-12,935,Hollywood,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",40.0,M,W,Unknown,Invest Cont,5500    HOLLYWOOD                    BL,9
230104009,2023-01-01,2023-01-01,100,Central,INTIMATE PARTNER - SIMPLE ASSAULT,60.0,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,100 W  5TH                          ST,1
230111886,2023-05-06,2023-05-06,330,Central,ROBBERY,53.0,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,700 S  BROADWAY,3
231609405,2023-06-22,2023-06-06,2330,Foothill,INTIMATE PARTNER - AGGRAVATED ASSAULT,54.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,11200    HERRICK                      AV,23
220119950,2022-09-07,2022-09-07,1400,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,26.0,M,H,VERBAL THREAT,Invest Cont,6TH                          ST,14
231209409,2023-04-01,2023-04-01,1800,77th Street,VANDALISM - MISDEAMEANOR ($399 OR UNDER),36.0,F,H,Unknown,Invest Cont,6700    6TH                          AV,18
221013194,2022-08-24,2022-08-24,2320,West Valley,BRANDISH WEAPON,70.0,M,B,KNIFE WITH BLADE 6INCHES OR LESS,Invest Cont,RESEDA                       BL,23
231607053,2023-04-07,2023-04-06,1353,Foothill,BURGLARY,53.0,F,H,Unknown,Invest Cont,7600    CAMELLIA                     AV,13
220215148,2022-08-22,2022-07-08,1730,Rampart,THEFT OF IDENTITY,62.0,M,H,Unknown,Invest Cont,200    COLUMBIA                     AV,17
222100916,2022-11-11,2022-11-11,1940,Topanga,INTIMATE PARTNER - SIMPLE ASSAULT,31.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,SHERMAN                      WY,19
231007394,2023-03-29,2023-03-24,1400,West Valley,BATTERY - SIMPLE ASSAULT,15.0,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,17000    HAYNES                       ST,14
222116734,2022-11-16,2022-11-16,2115,Topanga,BRANDISH WEAPON,25.0,M,H,OTHER KNIFE,Invest Cont,6700    TOPANGA CANYON               BL,21
220811556,2022-07-01,2022-06-30,1311,West LA,THEFT PLAIN - PETTY ($950 & UNDER),20.0,F,C,Unknown,Invest Cont,400    MIDVALE                      AV,13
